scholar_indx,name,grade,parents,spouse,siblings,children,birth_date_place,places_of_stay,death_date_place,teachers,students,area_of_interest,tags,books,students_inds,teachers_inds,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason
11409,'Ubaidullah bin Abi Ja'far عبيد الله بن أبي جعفر المصري,Follower(Tabi') [5th generation],NA,NA,NA,NA,NA,Egypt,136 AH ()[ Natural ],"Hamza bin 'Abdullah bin 'Umar [11818] , Muhammad bin Ja'far bin al-Zubair [11215] , أبي الأسود, Muhammad bin 'Abdur Rahman [11105] , Abu Salama bin 'Abdur Rahman [10567] , Abu 'Abdur Rahman al-Habli [10938] , Bukayr bin 'Abdullah bin al-Ashj [11154] , 'Abdur Rahman bin Harmaz al-A'araj [11197] , Nafie' [11014] , Salm bin Abi Salm [10913] , al-Jlah Abu Kathir al-Amwy Mwlahm [10852] , Muhammad bin 'Amr bin 'Ata' [19961] , Others","Ibn Ishaq [11107] , 'Amr bin al-Harith bin Ya'qub [20377] , Sa'id bin Abi Ayoub [20375] , Yahya bin Ayoub bin Abi Zara' al-Bajli [25345] , al-Laith bin Sa'd [20023] , Haywat bin Sharih bin Safwan [26010] , 'Abdur Rahman bin Sharih [20438] , Khalid bin Hameed al-Mhry [28148] , ابن لهيعة المصريون","Narrator[Grade:Thiqah] [ ع  -  ثقة ], Fiqh","Client [Client] , al-Masri [al-Masri]",NA,"11107, 20377, 20375, 25345, 20023, 26010, 20438, 28148","11818, 11215, 11105, 10567, 10938, 11154, 11197, 11014, 10913, 10852, 19961",NA,NA,NA,NA,136,NA,,Natural
11410,Marthad bin 'Abdullah al-Yazni مرثد بن عبد الله اليزني,Follower(Tabi') [3rd Generation],NA,NA,NA,NA,NA,Egypt,~ 90 AH ()[ Natural ],"'Uqba bin 'Amir al-Juhayni [189] , 'Amr bin al-'Aas [28] , 'Abdullah bin 'Amr bin al-'Aas [29] , Abu Ayyub al-Ansari [33] , Hamil/Jamil bin Basra [4087] , Zayd ibn Thabit [49] , Malik bin Hbyrh bin Khalid [5269] , Hdhyfh al-Barqy [18170] , Hsan bin Kryb [16015] , 'Abdullah bin Zryr [16056] , Abu al-Khattab al-Masri [16120] , أبي رهم السمعي, 'Abdullah al-Snabhy Mkhtlf [5144] , Abu 'Abdur Rahman al-Juhni [5363] , Others","Yazid bin Abi Habib [11411] , Ja'far bin Rabi'ya bin Shrhbyl [11407] , Ka'b bin 'Alqama bin Ka'b [10872] , عبد الرحمن بن شماسه, 'Ubaidullah bin Abi Ja'far [11409]","Narrator[Grade:Thiqah] [ ع  -  ثقة ], Fiqh",al-Masri [al-Masri],NA,"11411, 11407, 10872, 11409","189, 28, 29, 33, 4087, 49, 5269, 18170, 16015, 16056, 16120, 5144, 5363",NA,NA,NA,NA,90,NA,,Natural
11411,Yazid bin Abi Habib يزيد بن أبي حبيب,Follower(Tabi') [5th generation],NA,NA,NA,NA,NA,Egypt,128 AH ()[ Natural ],"'Abdullah bin al-Harith al-Zubaidi [4050] , Abu al-Tufayl, 'Amir bin Wathla [3660] , Aslm bin Yazid Abu [16001] , Ibrahim bin 'Abdullah [11150] , Khayr bin Na'eem [10857] , سويد بن قيس التجيبي, 'Abdur Rahman bin Shmas'h [10867] , 'Abdul 'Aziz bin Abi al-S'bh [12310] , 'Ata' bin Abi Rabah [11029] , 'Arak bin Malik [11204] , عبد الله بن راشد الزرقي, Ibrahim bin 'Abdullah [11150] , Sa'id bin Abi Hnd [11427] , Safwan bin Slym al-Madni [11177] , Ja'far bin Rabi'ya bin Shrhbyl [11407] , Bakr bin 'Amr al-Ma'fari [10850] , al-Harith bin Y'aqub [10854] , Muhammad bin 'Amr bin Halhala [11537] , Muhammad bin 'Amr bin 'Ata' [19961] , 'Imran bin Abi Anas [10605] , Musa bin Sa'd bin Zayd [10619] , Yazid bin Abi Sa'id [10626] , أبي أفلح, Y'aqub bin 'Abdullah bin al-Ashj [10629] , al-Zuhri [11013] , Several","Sulaiman bin Tarkhan al-Taymi [11289] , Ibn Ishaq [11107] , Zayd bin Abi Anisa [11340] , 'Amr bin al-Harith bin Ya'qub [20377] , 'Abdul Hameed bin Ja'far [11875] , 'Abdullah bin 'Ayyash bin 'Abbas [20623] , Haywat bin Sharih bin Safwan [26010] , Sa'id bin Abi Ayoub [20375] , 'Abdullah bin lahya'a bin 'Uqba [20624] , al-Laith bin Sa'd [20023] , يحيى بن أيوب المصريون","Narrator[Grade:Thiqah] [ ع  -  ثقة ], Fiqh","al-Azdi [al-Azdi] , Client [Client] , al-Masri [al-Masri]",NA,"11289, 11107, 11340, 20377, 11875, 20623, 26010, 20375, 20624, 20023","4050, 3660, 16001, 11150, 10857, 10867, 12310, 11029, 11204, 11150, 11427, 11177, 11407, 10850, 10854, 11537, 19961, 10605, 10619, 10626, 10629, 11013",NA,NA,NA,NA,128,NA,,Natural
11412,Bsr bin 'Ubaidullah بسر بن عبيد الله الحضرمي,Follower(Tabi') [4th generation],NA,NA,NA,NA,NA,Syria,()[ Natural ],"Wathla bin al-'Asqa' [4049] , 'Amr bin 'Absa al-Salmi [4002] , Ruwayfi' bin Thabit al-Ansari [1225] , 'Abdullah bin Mahayraz [11253] , Abu Idrees al-Khulani [11027] , Others","'Abdullah bin al-'Ala' [20399] , 'Abdur Rahman bin Yazid bin Jabir [20395] , Zayd bin Waqd al-Quraishi [11671]",Narrator[Grade:Thiqah Thiqah] [ ع  -  ثقة حافظ ],"al-Hadrami [al-Hadrami] , al-Shami [al-Shami]",NA,"20399, 20395, 11671","4049, 4002, 1225, 11253, 11027",NA,NA,NA,NA,NA,NA,,Natural
11413,Hsan bin Atyh al-Mharby حسان بن عطية المحاربي مولاهم,Follower(Tabi') [4th generation],NA,NA,NA,NA,NA,Damascus,after  120 AH ()[ Natural ],"Abu Umama al-Bahili [4048] , 'Unbasa bin Abi Sufyan [846] , Khalid bin Ma'dan [11422] , Sa'id ibn al-Musayyib [11002] , Muhammad bin al-Munkdar bin 'Abdullah [11048] , Nafie' [11014] , al-Qasim bin Mukhaymara [10812] , Shrahyl bin Aadah, Abu al-Ash'ath [10917] , الصنعاني, Abu Kabsha al-Saluli [11669] , Abu al-Mnyb al-Jrshy [17562] , Muhammad bin Abi Aa'ishh [10666] , Abu Qalaba, 'Abdullah bin Zayd al-Jarmi [11047] , Others, أرسل عن أبي","'Abdur Rahman bin 'Amr al-Awza'i [20024] , Muhammad bin Matraf [20179] , 'Abdur Rahman bin Thabit [20731] , al-Walid bin Muslim al-Quraishi [20733]",Narrator[Grade:Thiqah] [ ع  -  ثقة ],"Client [Client] , al-Damashqi [al-Damashqi]",NA,"20024, 20179, 20731, 20733","4048, 846, 11422, 11002, 11048, 11014, 10812, 10917, 11669, 17562, 10666, 11047",NA,NA,NA,NA,120,NA,,Natural
11414,Rabi'a bin Yazid al-Damashqi ربيعة بن يزيد الدمشقي,Follower(Tabi') [4th generation],NA,NA,NA,NA,NA,Damascus,123 AH ()[ Natural ],"'Abdullah bin 'Amr bin al-'Aas [29] , al-Nu'man bin Bashir ibn Sa'd [274] , Wathla bin al-'Asqa' [4049] , Mu'awiya ibn Abu Sufyan [27] , 'Abdullah bin 'Amir [10882] , 'Abdullah bin al-Dayli [5136] , قيل بينهما أبو إدريس الخولاني, 'Abdullah bin Hawalah [5122] , Jubayr bin Nufayr al-Hadrami [4097] , Abu Kabsha al-Saluli [11669] , Muslim bin Qrzh [10963] , عطية بن عمرو السعدي, 'Abdullah al-Snabhy Mkhtlf [5144] , Several Others","'Abdullah bin Yazid [17523] , Haywat bin Sharih bin Safwan [26010] , 'Abdur Rahman bin 'Amr al-Awza'i [20024] , Sa'id bin 'Abdul 'Aziz al-Tanuqi [20638] , Mu'awiya bin Salah bin Hadayr [20675] , Muhammad bin Muhajir bin Abi Muslim [20637] , Frj bin Fdalh bin al-N'man [27031] , Yazid bin Abi Habib [11411] , 'Asim bin Rja'a bin Hywh [28259] , Yazid bin Rabi'yah Abu Kaml [27485]",Narrator[Grade:Thiqah] [ ع  -  ثقة ],"al-Ayadi [al-Ayadi] , al-Qasayr [al-Qasayr] , al-Damashqi [al-Damashqi]",NA,"17523, 26010, 20024, 20638, 20675, 20637, 27031, 11411, 28259, 27485","29, 274, 4049, 27, 10882, 5136, 5122, 4097, 11669, 10963, 5144",NA,NA,NA,NA,123,NA,,Natural
11415,'Umayr bin Han'i al-Ansi عمير بن هانئ العنسي,Follower(Tabi') [4th generation],NA,NA,NA,NA,NA,Damascus,127 AH or before ()[ Killed ],"Mu'awiya ibn Abu Sufyan [27] , Malik bin Yakhamar [11722] , Junadah bin Abi Umayya [3205] , Abu Hurairah [13]","بن عمير, 'Abdur Rahman bin Thabit [20731] , 'Abdur Rahman bin Yazid bin Jabir [20395] , أبو عمرو, Muslimh bin 'Amr [27041] , al-'Ala' bin 'Utba [18829] , 'Uthman bin Abi al-Atk'h [27530] , Sa'id bin Basahyr al-Azdi [20710] , Mu'awiya bin Salah bin Hadayr [20675]",Narrator[Grade:Thiqah] [ ع  -  ثقة ],"al-'Ansi [al-'Ansi] , al-Darani [al-Darani] , al-Damashqi [al-Damashqi]",NA,"20731, 20395, 27041, 18829, 27530, 20710, 20675","27, 11722, 3205, 13",NA,NA,NA,NA,127,NA,,NA
11416,Aslam Client Of 'Umar أسلم مولى عمر,Follower(Tabi') [1st Generation],NA,NA,NA,Zayd bin Aslam [11163],~34 BH (Abyssinia),Medina,~80 AH or before ()[ Natural ],"Abu Bakr As-Siddique [2] , 'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , ibn Umar [18] , Mu'adh ibn Jabal [32] , Abu 'Ubaidah ibn al-Jarrah [10] , Hafsa bint Umar [54] , Others","Zayd bin Aslam [11163] , al-Qasim ibn Muhammad [10535] , Nafie' [11014]","Narrator[Grade:No Doubt] [ ع  -  مخضرم ], Fiqh","Ally B.'Adi [Ally%20B.'Adi] , Client [Client] , Makhdaram [Makhdaram]",NA,"11163, 10535, 11014","2, 3, 4, 18, 32, 10, 54",Abyssinia,['34 BH'],34,NA,80,NA,,Natural
11417,Isma'il bin Umayya bin 'Amr إسماعيل بن أمية بن عمرو,Follower(Tabi') [6th generation],Umayya bin 'Amr bin Sa'id bin al-Aas [18061],NA,NA,NA,NA,NA,144 AH or before ()[ Natural ],"Sa'id ibn al-Musayyib [11002] , Nafie' [11014] , 'Ikrama [11023] , Sa'id bin Abi Sa'id (Kaysan) [11168] , Muhammad bin Muslim bin Tadras [11263] , al-Zuhri [11013] , Makhul al-Shami/al-Damashiqi [11066] , Muhammad bin Yahya bin Hiban [11222] , Several Others","Ibn Jurayj [11070] , Sufyan bin Saâid Ath-Thawri [20012] , Rwh bin al-Qasim al-Tmymy [11586] , Ibrahim bin Muhammad bin al-Harith [20405] , Ibn Ishaq [11107] , Ma'mar bin Rashid [20115] , Yahya bin Ayoub al-Ghafiqi [20379] , Yahya bin Saleem al-Ta'ifi [20204] , Sufyan bin 'Uyaynah [20005]",Narrator[Grade:Thiqah] [ ع  -  ثقة ثبت ],B.Umayya [B.Umayya],NA,"11070, 20012, 11586, 20405, 11107, 20115, 20379, 20204, 20005","11002, 11014, 11023, 11168, 11263, 11013, 11066, 11222",NA,NA,NA,NA,144,NA,,Natural
11418,Isma'il bin Abi Khalid al-Ahmsi إسماعيل بن أبي خالد الأحمسي,Follower(Tabi') [4th generation],"Abu Khalid al-Bajli,al-Ahamsi [19253]",NA,"Sa'id bin Abi Khalid [15185] , Ash'ath bin Abi Khalid [13645] ,  [21500]",NA,NA,Kufa,146 AH ()[ Natural ],"Abu Khalid al-Bajli,al-Ahamsi [19253] , Abu Juhayfa al-Sawai' [4047] , 'Abdullah bin Abi Awfa [5115] , 'Amr bin Hurayth bin 'Amr bin 'Uthman [5202] , Abu Kahil al-Ahamsi [5370] , Zayd bin Wahb al-Jhny [11341] , Muhammad bin Sa'd ibn Abi Waqqas [10553] , Abu Bakr bin 'Umara [10847] , Qays bin Abi Hazim [11046] , Shbyl bin Awf [15224] , al-Harith bin Shabayl [11681] , Tariq bin Shahab [3680] , 'Amir al-Sha'bi [11052] , Others from Tabi'een, (From peers), Sa'id bin Abi Khalid [15185] , Ash'ath bin Abi Khalid [13645] , Others","Shu'bah bin al-Hajjaj [20020] , Sufyan bin Saâid Ath-Thawri [20012] , Sufyan bin 'Uyaynah [20005] , Za'ida bin Qadama al-Thaqifi [20320] , 'Abdullah bin Mubarak [20025] , Hashaym bin Bashayr bin al-Qasim [20468] , Yahya bin Sa'id bin Farroukh al-Qatan [20031] , Yazid bin Harun [20472] , 'Ubaidullah bin Musa bin Abi al-Mukhtar [20340]",Narrator[Grade:Thiqah] [ ع  -  ثقة ثبت ],"al-Ahmsi [al-Ahmsi] , Client [Client] , al-Bajli [al-Bajli] , al-Kufi [al-Kufi]",NA,"20020, 20012, 20005, 20320, 20025, 20468, 20031, 20472, 20340","19253, 4047, 5115, 5202, 5370, 11341, 10553, 10847, 11046, 15224, 11681, 3680, 11052, 15185, 13645",NA,NA,NA,NA,146,NA,,Natural
11419,Ja'far bin Iyas (Abi Wahshiyya) جعفر بن إياس / بن أبي وحشية,Follower(Tabi') [5th generation],NA,NA,NA,NA,NA,"Wasit, Basra",~126 AH ()[ Natural ],"'Aabad bin Shrhbyl al-Yshkry [5109] , Sa'id bin Jubayr [11050] , 'Ata' bin Abi Rabah [11029] , 'Ikrama [11023] , Mujahid bin Jabir [11028] , Abu 'Umayr bin Anas bin Malik [12632] , al-Mandhar bin Malik bin Qata' [10721] , Yusuf bin Mahk [11264] , Hameed bin 'Abdur Rahman [11280] , 'Abdur Rahman bin Abi Bakra [11294] , Several Others","Sulaiman al-A'mash [11060] , Ayoub al-Sakhtiyani [11015] , Da'ud bin Abi Hnd [11585] , Shu'bah bin al-Hajjaj [20020] , Ghylan bin Jam' bin Ash'th [10809] , Rqbh bin Msqlh bin Abd [11626] , Wadah bin 'Abdullah al-Yashkari [20469] , Hashaym bin Bashayr bin al-Qasim [20468] , Khalid bin 'Abdullah al-Tahan [20423]",Narrator[Grade:Thiqah] [ ع  -  ثقة ],"al-Yashkari [al-Yashkari] , al-Wasti [al-Wasti]",NA,"11060, 11015, 11585, 20020, 10809, 11626, 20469, 20468, 20423","5109, 11050, 11029, 11023, 11028, 12632, 10721, 11264, 11280, 11294",NA,NA,NA,NA,126,NA,,Natural
11420,Hafs bin 'Asim bin 'Umar حفص بن عاصم بن عمر,Follower(Tabi') [3rd Generation],'Asim bin 'Umar [563],NA,"'Ubaidullah bin 'Asim bin 'Umar [19109] , Umm Maskayn [19563] , Umm 'Asim bint 'Asim","'Isa bin Hafs bin 'Asim bin 'Umar [11533] , 'Umar bin Hafs bin 'Asim [11905]",(Medina),Medina,(Medina)[ Natural ],"'Asim bin 'Umar [563] , ibn Umar [18] , al-Qasim bin Makhrama [923] , Abu Hurairah [13] , Abu Sa'id al-Khudri [38] , Abu Sa'd bin Aws bin al-Mu'alla [1535]","al-Zuhri [11013] , Sa'd bin Ibrahim [11063] , Salim bin 'Abdullah bin 'Umar [11011] , al-Qasim ibn Muhammad [10535] , 'Isa bin Hafs bin 'Asim bin 'Umar [11533] , 'Umar bin Hafs bin 'Asim [11905]","Narrator[Grade:Thiqah] [ ع  -  ثقة ], Fiqh","Quraish [Quraish] , B.'Adi [B.'Adi] , Madni [Madni]",NA,"11013, 11063, 11011, 10535, 11533, 11905","563, 18, 923, 13, 38, 1535",Medina,[],NA,NA,NA,NA,Medina,Natural
11421,Hamran bin Aban حمران بن أبان,Follower(Tabi') [2nd Generation],NA,NA,NA,NA,(Iran),"Medina,  Basra",75 AH ()[ Natural ],"'Uthman ibn 'Affaan [4] , Mu'awiya ibn Abu Sufyan [27]","Shaqayq bin Salmah al-Asadi [11353] , Jama' bin Shadad al-Maharbi [11328] , 'Urwa ibn al-Zubayr [10511] , Mu'adh bin 'Abdur Rahman bin 'Uthman [2706] , Ata'a bin Yazid al-Laithi al-Junda'i [11206] , Yazid bin Hameed, Abu Tiyah [11317] , Abu Salama bin 'Abdur Rahman [10567] , Byan bin Bashr al-Ahmsi [11326]",Narrator[Grade:Thiqah] [ ع  -  ثقة ],"Client [Client] , Ally B.Umayya [Ally%20B.Umayya]",NA,"11353, 11328, 10511, 2706, 11206, 11317, 10567, 11326","4, 27",Iran,[],NA,NA,75,NA,,Natural
11422,Khalid bin Ma'dan خالد بن معدان,Follower(Tabi') [3rd Generation],NA,NA,NA,NA,NA,al-Hims,103 AH or after ()[ Natural ],"Thawban bin Bujdud [130] , 'Abdullah bin 'Amr bin al-'Aas [29] , ibn Umar [18] , 'Utba bin Abd al-Slmy [5166] , Mu'awiya ibn Abu Sufyan [27] , al-Miqdam bin Ma'di Karb [5304] , Abu Umama bin Sahl [405] , Dhw Mkhbr Bksr [5021] , 'Abdullah bin Basr al-Maazni [3650] , Abu al-Hajjaj al-Thamali [6571] , له أدراك, 'Ubada bin As-Samit [40] , Abu al-Darda [37] , Jubayr bin Nufayr al-Hadrami [4097] , 'Abdullah bin Aby [17040] , Hjr bin Hjr [18164] , ربيعة بن الغاز, Others, أرسل عن معاذ, Abu 'Ubaidah ibn al-Jarrah [10] , Abu Dharr al-Ghaffari [23] , 'Aisha bint Abi Bakr [53]","Bhyr bin Sa'id al-Shwly Abu [19900] , Muhammad bin Ibrahim bin al-Harith [11213] , Thaur bin Yazid al-Rahbi [20415] , Huraiz bin 'Uthman bin Jabir [11684] , 'Amir bin Jshyb [18477] , Hsan bin Atyh al-Mharby [11413] , Fdyl bin Fdalh al-Hwzny [17052]",Narrator[Grade:Thiqah] [ ع  -  ثقة ],"al-Kula'i [al-Kula'i] , al-Himsi [al-Himsi]",NA,"19900, 11213, 20415, 11684, 18477, 11413, 17052","130, 29, 18, 5166, 27, 5304, 405, 5021, 3650, 6571, 40, 37, 4097, 17040, 18164, 10, 23, 53",NA,NA,NA,NA,103,NA,,Natural
11423,Dhar bin 'Abdullah al-Marhabi ذر بن عبد الله المرهبي,Follower(Tabi') [6th generation],NA,NA,NA,'Umar bin Dhar bin 'Abdullah al-Hamdani [11642],NA,"al-Kufa,  al-Ray",before  100 AH ()[ Natural ],"'Abdullah ibn Shaddad [169] , Sa'id bin 'Abdur Rahman bin Abza [11346] , Sa'id bin Jubayr [11050] , al-Msyb bin Njbh [15531] , Wa'il bin Mhanh al-Tymy [15601] , Ysy' bin Ma'dan al-Hdrmy [19885] , Others","'Umar bin Dhar bin 'Abdullah al-Hamdani [11642] , Sulaiman al-A'mash [11060] , Mansur bin al-Ma'tamar al-Salmi [11067] , al-Hakam bin 'Utayba [11069] , Zubayd bin al-Harith [11335] , Salmah bin Kahayl al-Hadrami [11350] , Habib bin Abi Thabit [11331] , Husayn bin 'Abdur Rahman al-Salmi [15097] , Talha bin Msrf bin 'Amr [11356] , Ata'a bin al-Sa'ib al-Thaqifi [11068]",Narrator[Grade:Thiqah] [ ع  -  ثقة ],"al-Hamdani [al-Hamdani] , al-Marhabi [al-Marhabi] , al-Kufa [al-Kufa]",NA,"11642, 11060, 11067, 11069, 11335, 11350, 11331, 15097, 11356, 11068","169, 11346, 11050, 15531, 15601, 19885",NA,NA,NA,NA,100,NA,,Natural
11424,Rafi' bin Mahran Abi al-Aliya رفيع بن مهران أبي العالية الرياحي,Follower(Tabi') [2nd Generation],NA,NA,NA,NA,NA,Basra,93 AH or after ()[ Natural ],"Ali ibn Abi Talib [5] , ibn Mas'ud [16] , Abu Musa al-Asha'ari [41] , Abu Ayyub al-Ansari [33] , Ubayy ibn Ka'b [39] , Thawban bin Bujdud [130] , Hudhayfah ibn al-Yaman [145] , ibn Abbas [17] , ibn Umar [18] , Rafi' bin Khadij bin Rafi' [1986] , Abu Sa'id al-Khudri [38] , Abu Hurairah [13] , Abu Burda bin Niyar [1820] , 'Aisha bint Abi Bakr [53] , Anas bin Malik [19] , Abu Dharr al-Ghaffari [23]","Khalid bin Mahran al-Hadha' [11282] , Da'ud bin Abi Hnd [11585] , Ibn Sirin [11035] , Yusuf bin 'Abdullah bin al-Harith [10728] , Hafsa bint Sirin [11039] , al-Rabi' bin Anas al-Bakry [19844] , Thabit bin Aslam Albanani [11269] , Hameed bin Hilal [11281] , Qatada [11019] , Mnswr bin Zadhan [11444]",Narrator[Grade:Thiqah] [ ع  -  ثقة ],"al-Rayahi [al-Rayahi] , al-Basri [al-Basri] , Client [Client]",NA,"11282, 11585, 11035, 10728, 11039, 19844, 11269, 11281, 11019, 11444","5, 16, 41, 33, 39, 130, 145, 17, 18, 1986, 38, 13, 1820, 53, 19, 23",NA,NA,NA,NA,93,NA,,Natural
11425,Zayd bin Jubayr Bim Harmal زيد بن جبير بن حرمل,Follower(Tabi') [4th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"ibn Umar [18] , Khashaf bin Malik al-Tai'i [19907] , Abu Yazid al-Dani [19413] , Sa'id bin Fyrwz Abu al-Bakhtari al-Tai'i [11347]","Shu'bah bin al-Hajjaj [20020] , Sufyan bin Saâid Ath-Thawri [20012] , Zuhayr bin Mua'wiya bin Hudayj [20321] , Isra'il bin Yonus bin Abi Ishaq [20311] , Hajjaj bin Artah [20580] , Wadah bin 'Abdullah al-Yashkari [20469]",Narrator[Grade:Thiqah] [ ع  -  ثقة ],"al-Tai'i [al-Tai'i] , al-Jashmi [al-Jashmi] , Kufi [Kufi]",NA,"20020, 20012, 20321, 20311, 20580, 20469","18, 19907, 19413, 11347",NA,NA,NA,NA,NA,NA,,Natural
11426,"Sa'd bin 'Ubaid, Abu 'Ubaid سعد بن عبيد , أبو عبيد مولى بن أزهر",Follower(Tabi') [2nd Generation],NA,NA,NA,NA,NA,Medina,98 AH ()[ Natural ],"'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , Abu Hurairah [13]","al-Zuhri [11013] , Sa'id bin Khalid bin 'Abdullah bin Qariz [12128]","Narrator[Grade:Thiqah] [ ع  -  ثقة ], Fiqh","Ally B.Zuhrah [Ally%20B.Zuhrah] , Client [Client]",NA,"11013, 12128","3, 4, 5, 13",NA,NA,NA,NA,98,NA,,Natural
11427,Sa'id bin Abi Hnd سعيد بن أبي هند الفزاري,Follower(Tabi') [3rd Generation],NA,NA,NA,'Abdullah bin Sa'id bin Abi Hind [11184],NA,NA,116 AH or after ()[ Natural ],"Abu Musa al-Asha'ari [41] , Abu Hurairah [13] , ibn Abbas [17] , Umm Hani bint Abi Talib [198]","'Abdullah bin Sa'id bin Abi Hind [11184] , Yazid bin Abi Habib [11411] , Nafi' bin 'Umar al-Jumhi [20203] , Ibn Ishaq [11107] , 'Abdullah bin Muhammad bin Abi Yahya [28303] , Musa bin Mysrh al-Bdy [14385] , Nafie' [11014] , al-Walid bin Kathir al-Makhzumi [11230] , Usamah bin Zayd al-Lythy [20500]",Narrator[Grade:Thiqah] [ ع  -  ثقة ],"al-Fazari [al-Fazari] , Client [Client]",NA,"11184, 11411, 20203, 11107, 28303, 14385, 11014, 11230, 20500","41, 13, 17, 198",NA,NA,NA,NA,116,NA,,Natural
11428,Sami Maula Abi Bakr bin 'Abdur Rahman سمي مولى أبي بكر بن عبد الرحمن بن الحارث,Follower(Tabi') [6th generation],NA,NA,NA,'Abdul Malik,NA,Medina,130 AH ()[ Natural ],"Abu Bakr bin 'Abdur Rahman [11003] , Sa'id ibn al-Musayyib [11002] , Dhakwan Abu Salah al-Saman al-Ziyat [11161] , al-Q'qa' bin Hkym al-Knany [10612] , al-Nu'man bin Abi 'Ayyash [11542]","Son, Yahya bin Sa'id al-Ansari [11062] , Suhayl bin Abi Salah [11173] , Muhammad bin Ajlan al-Madni [10616] , 'Ubaidullah bin 'Umar bin Hafs [11201] , Sufyan bin Saâid Ath-Thawri [20012] , Sufyan bin 'Uyaynah [20005] , Imam Maalik [20001] , 'Abdullah bin Sa'id bin Abi Hind [11184] , 'Amarah bin Ghazya bin al-Harith [11894] , Wrqa'a bin 'Umar [20363] , 'Abdul 'Aziz bin al-Mukhtar [20252] , 'Umar bin Muhammad bin al-Mnkdr [20513]",Narrator[Grade:Thiqah] [ ع  -  ثقة ],"Ally B.Makhzum [Ally%20B.Makhzum] , Client [Client] , al-Madni [al-Madni]",NA,"11062, 11173, 10616, 11201, 20012, 20005, 20001, 11184, 11894, 20363, 20252, 20513","11003, 11002, 11161, 10612, 11542",NA,NA,NA,NA,130,NA,,Natural
11429,Siyar Abu al-Hakam al-Anzi سيار أبو الحكم العنزي,Follower(Tabi') [6th generation],NA,NA,NA,NA,NA,al-Wasit,122 AH ()[ Natural ],"Thabit bin Aslam Albanani [11269] , 'Abdullah bin Bakr [24229] , Salman Abu Hazam al-Ashja'i [11349] , Shaqayq bin Salmah al-Asadi [11353] , Yazid bin S'hyb [11665] , 'Amir al-Sha'bi [11052] , Jbr bin 'Ubaid'h [18115] , طارق بن شهاب إن كان محفوظا, Others","Isma'il bin Abi Khalid al-Ahmsi [11418] , Sulaiman bin Tarkhan al-Taymi [11289] , Shu'bah bin al-Hajjaj [20020] , Sufyan bin Saâid Ath-Thawri [20012] , Qurrah bin Khalid al-Sadusi [11301] , Hashaym bin Bashayr bin al-Qasim [20468] , al-S'q bin Hzn [20552] , Zayd bin Abi Anisa [11340] , Khlf bin Khlyfh [20584] , بشير بن إسماعيل علي خلاف فيه",Narrator[Grade:Thiqah] [ ع  -  ثقة ],"al-'Anzi [al-'Anzi] , al-Wasti [al-Wasti] , Basri [Basri]",NA,"11418, 11289, 20020, 20012, 11301, 20468, 20552, 11340, 20584","11269, 24229, 11349, 11353, 11665, 11052, 18115",NA,NA,NA,NA,122,NA,,Natural
11430,Shbyb bin Ghrqd'h شبيب بن غرقدة,Follower(Tabi') [4th generation],NA,NA,NA,NA,NA,NA,()[ Natural ],"'Urwa bin al-Ja'd / Abi al-Ja'd [5176] , Sulaiman bin 'Amr bin al-Ahws [19868] , 'Abdullah bin Shhab [10784] , جمرة بنت قحافة, Others","Shu'bah bin al-Hajjaj [20020] , Mansur bin al-Ma'tamar al-Salmi [11067] , Za'ida bin Qadama al-Thaqifi [20320] , Qays bin al-Rabi' al-'Asady Abu [25246] , al-Hasan bin Amarh [25053] , Sufyan bin 'Uyaynah [20005] , Abu al-Ahwus, Salam bin Sulaym al-Hanafi [20327] , Sharayk bin 'Abdullah [20587]",Narrator[Grade:Thiqah] [ ع  -  ثقة ],NA,NA,"20020, 11067, 20320, 25246, 25053, 20005, 20327, 20587","5176, 19868, 10784",NA,NA,NA,NA,NA,NA,,Natural
